,tconst,isAdult,startYear,runtimeMinutes,genre_1,genre_2,genre_3,directors,title,averageRating,numVotes,primaryName
6325,tt0078898,0,1979,102,Crime,Drama,,nm0696309,Boulevard Nights,6.5,714,Michael Pressman
6326,tt0075744,0,1977,101,Comedy,Drama,Romance,nm0798717,Between the Lines,6.7,997,Joan Micklin Silver
6327,tt0079278,0,1979,95,Comedy,Drama,Romance,nm0798717,Head Over Heels,6.9,1355,Joan Micklin Silver
6328,tt0094921,0,1988,97,Comedy,Romance,,nm0798717,Izzy et Sam,6.9,4600,Joan Micklin Silver
6329,tt0097790,0,1989,98,Comedy,,,nm0798717,Loverboy,6.0,8412,Joan Micklin Silver
6330,tt0075745,0,1985,88,Drama,,,nm0001699,Au-delà de la raison,4.8,77,Telly Savalas
6331,tt0075753,0,1977,95,Drama,Romance,,nm0357807,Bilitis,5.3,2209,David Hamilton
6332,tt0079449,0,1979,95,Drama,Romance,,nm0357807,"Laura, les ombres de l'été",5.7,1232,David Hamilton
6333,tt0081614,0,1980,92,Comedy,Drama,Romance,nm0357807,Tendres cousines,5.4,1947,David Hamilton
6334,tt0086136,0,1983,93,Drama,Romance,,nm0357807,Premiers désirs,4.5,1044,David Hamilton
6335,tt0088202,0,1983,59,Drama,Music,Romance,nm0357807,Un été à Saint-Tropez,5.2,533,David Hamilton
6336,tt0075759,0,1977,96,Action,Crime,Romance,nm0277133,Le secret de la panthère noire,4.4,120,Pavlos Filippou
6337,tt0254109,0,1972,89,Adventure,Crime,Thriller,nm0277133,Les déchaînées du plaisir,6.1,42,Pavlos Filippou
6338,tt0075764,0,1977,97,Crime,Thriller,,nm0581206,La Panthère Noire,6.7,723,Ian Merrick
6339,tt0075767,0,1977,83,\N,,,nm0603266,Black-Out,5.2,17,Philippe Mordacq
6340,tt0075769,0,1977,97,Comedy,Horror,,nm0512048,Mort au sang donneur,5.3,26,Wim Lindner
6341,tt0075783,0,1977,86,Action,Adventure,Crime,nm0401366,Les casseurs,4.2,3521,Don Hulette
6342,tt0311228,0,1979,90,Drama,,,nm0401366,Les motos de la mort,6.4,34,Don Hulette
6343,tt0075791,0,1977,99,Romance,,,nm0340170,Les frères,6.8,23,Wolf Gremm
6344,tt0084191,0,1982,106,Sci-Fi,Thriller,,nm0340170,Kamikaze,5.8,789,Wolf Gremm
